target,series,experiment,checkpoint,epoch,step,mAP,Rank-1,Rank-5,Rank-10,status,source
LTCC,generalized_reid_ltcc_raw,Generalized Swin on LTCC (raw),model_epoch_029_step_87117,29,87117,23.5,59.4,73.2,78.5,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
LTCC,generalized_reid_ltcc_raw,Generalized Swin on LTCC (raw),model_epoch_039_step_116118,39,116118,24.5,61.5,74.0,79.9,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
LTCC,generalized_reid_ltcc_raw,Generalized Swin on LTCC (raw),model_epoch_049_step_145132,49,145132,25.4,62.7,75.9,80.5,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
LTCC,generalized_reid_ltcc_raw,Generalized Swin on LTCC (raw),model_epoch_059_step_174216,59,174216,26.3,63.5,75.5,80.7,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
LTCC,generalized_reid_ltcc_raw,Generalized Swin on LTCC (raw),model_epoch_069_step_203291,69,203291,27.1,63.9,75.7,80.7,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
LTCC,generalized_reid_ltcc_raw,Generalized Swin on LTCC (raw),model_epoch_079_step_232299,79,232299,27.4,63.1,74.6,80.7,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
LTCC,generalized_reid_ltcc_raw,Generalized Swin on LTCC (raw),model_epoch_089_step_261419,89,261419,28.3,63.3,76.3,80.7,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
LTCC,generalized_reid_ltcc_raw,Generalized Swin on LTCC (raw),model_epoch_099_step_290419,99,290419,28.8,63.3,76.3,80.5,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
LTCC,generalized_reid_ltcc_raw,Generalized Swin on LTCC (raw),model_epoch_109_step_319465,109,319465,29.2,64.3,76.7,80.9,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
LTCC,generalized_reid_ltcc_raw,Generalized Swin on LTCC (raw),model_epoch_119_step_348594,119,348594,29.5,64.7,75.9,80.5,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
PRCC,generalized_reid_prcc_raw,Generalized Swin on PRCC (raw),model_epoch_009_step_29073,9,29073,62.5,90.1,94.4,95.8,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
PRCC,generalized_reid_prcc_raw,Generalized Swin on PRCC (raw),model_epoch_019_step_58078,19,58078,66.1,94.4,95.8,95.8,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
PRCC,generalized_reid_prcc_raw,Generalized Swin on PRCC (raw),model_epoch_029_step_87117,29,87117,67.6,95.8,97.2,100.0,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
PRCC,generalized_reid_prcc_raw,Generalized Swin on PRCC (raw),model_epoch_039_step_116118,39,116118,68.5,97.2,100.0,100.0,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
PRCC,generalized_reid_prcc_raw,Generalized Swin on PRCC (raw),model_epoch_049_step_145132,49,145132,69.7,98.6,100.0,100.0,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
PRCC,generalized_reid_prcc_raw,Generalized Swin on PRCC (raw),model_epoch_059_step_174216,59,174216,70.3,98.6,100.0,100.0,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
PRCC,generalized_reid_prcc_raw,Generalized Swin on PRCC (raw),model_epoch_069_step_203291,69,203291,70.5,98.6,100.0,100.0,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
PRCC,generalized_reid_prcc_raw,Generalized Swin on PRCC (raw),model_epoch_079_step_232299,79,232299,70.6,98.6,100.0,100.0,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
PRCC,generalized_reid_prcc_raw,Generalized Swin on PRCC (raw),model_epoch_089_step_261419,89,261419,71.0,98.6,100.0,100.0,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
PRCC,generalized_reid_prcc_raw,Generalized Swin on PRCC (raw),model_epoch_099_step_290419,99,290419,71.4,98.6,100.0,100.0,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
PRCC,generalized_reid_prcc_raw,Generalized Swin on PRCC (raw),model_epoch_109_step_319465,109,319465,71.4,98.6,100.0,100.0,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
PRCC,generalized_reid_prcc_raw,Generalized Swin on PRCC (raw),model_epoch_119_step_348594,119,348594,71.5,98.6,100.0,100.0,passed,experiments/reid/generalized_reid_swin/evaluate/all_checkpoints/summary.tsv
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_001,1,,2.9,6.9,17.2,27.0,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
LTCC,ltcc_archive_v1.0.0,LTCC archived v1.0.0 curve,archived_epoch_002,2,,2.9,7.7,17.2,24.9,passed,experiments/reid/ltcc/archives/v1.0.0_20251120_083952/results/metrics.json
